ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;671;246;0;1
1;625;680;0;2
2;50;483;0;3
3;207;277;0;4
4;3124;847;0;5
5;437;409;0;6
6;330;1414;0;7
7;82;436;0;8
8;388;259;0;9
9;507;106;0;10
10;456;742;1;1
11;352;746;1;2
12;307;60;1;3
13;550;244;1;4
14;682;106;1;5
15;145;306;1;6
16;254;21;1;7
17;119;514;1;8
18;187;168;2;1
19;738;153;2;2
20;247;598;2;3
21;59;772;2;4
22;373;483;2;5
23;555;677;2;6
24;696;459;2;7
25;203;632;2;8
26;50;254;2;9
27;553;702;2;10
28;531;288;2;11
29;98;84;2;12
30;646;212;2;13
31;50;79;2;14
32;754;109;2;15
33;452;627;2;16
34;762;144;2;17
35;423;421;2;18
36;855;3260;2;19
37;112;374;2;20
38;132;48;2;21
39;328;331;2;22
40;559;624;2;23
41;608;743;2;24
42;209;298;3;1
43;137;676;3;2
44;3147;1028;3;3
45;708;345;3;4
46;93;100;3;5
47;1986;2233;3;6
48;180;380;3;7
49;493;527;4;1
50;761;649;5;1
51;471;416;5;2
52;171;430;5;3
53;626;710;5;4
54;529;281;5;5
55;260;590;5;6
56;562;437;5;7
57;661;362;5;8
58;259;131;5;9
59;192;348;5;10
60;562;447;5;11
61;717;667;5;12
62;469;142;5;13
63;281;250;5;14
64;3180;562;5;15
65;73;163;5;16
66;122;148;6;1
67;1058;486;6;2
68;182;661;6;3
69;313;200;6;4
70;276;563;6;5
71;375;607;6;6
72;310;672;6;7
73;653;171;6;8
74;3136;2229;6;9
75;662;246;6;10
76;255;774;6;11
77;1200;2083;6;12
78;456;849;6;13
79;225;404;6;14
80;113;680;6;15
81;22;389;6;16
82;594;495;6;17
83;783;699;7;1
84;1124;2940;7;2
85;50;310;7;3
86;729;688;7;4
87;485;658;8;1
88;446;411;8;2
89;711;49;8;3
90;467;632;8;4
91;280;726;8;5
92;322;613;8;6
93;398;623;8;7
94;1423;2993;8;8
95;661;512;8;9
96;686;2269;8;10
97;199;664;9;1
98;88;151;9;2
99;175;465;9;3
100;636;578;9;4
101;180;186;9;5
102;294;483;9;6
103;464;573;9;7
104;730;478;9;8
105;577;285;9;9
106;444;88;9;10
107;254;145;9;11
108;545;204;9;12
109;723;29;9;13
110;694;787;9;14
111;178;179;9;15
112;576;256;9;16
113;261;264;9;17
114;413;41;10;1
115;731;495;10;2
116;681;543;10;3
117;3212;1862;10;4
118;521;97;10;5
119;22;708;10;6
120;319;602;10;7
121;43;260;10;8
122;310;430;10;9
123;333;673;10;10
124;270;23;10;11
125;435;436;10;12
126;774;349;10;13
127;588;476;10;14
128;76;44;11;1
129;581;197;11;2
130;606;641;11;3
131;416;679;11;4
132;104;655;11;5
133;793;447;12;1
134;533;763;12;2
135;130;579;12;3
136;300;748;12;4
137;66;519;12;5
138;162;413;12;6
139;53;190;12;7
140;324;667;12;8
141;155;509;12;9
142;116;711;12;10
143;502;394;12;11
144;592;614;12;12
145;2783;1947;12;13
146;379;395;12;14
147;278;354;12;15
148;259;79;12;16
149;149;436;12;17
150;648;317;12;18
151;451;438;12;19
152;750;70;12;20
153;759;362;12;21
154;510;290;12;22
155;49;42;12;23
156;1004;1079;12;24
157;778;739;13;1
158;2489;2244;13;2
159;175;234;13;3
160;98;366;13;4
161;688;428;13;5
162;282;756;13;6
163;648;569;13;7
164;781;335;13;8
165;567;589;13;9
166;1405;1773;13;10
167;265;3025;13;11
168;217;300;13;12
169;384;266;13;13
170;379;495;13;14
171;243;341;13;15
172;464;489;13;16
173;2786;2576;13;17
174;689;460;13;18
175;86;545;13;19
176;717;112;13;20
177;193;652;13;21
178;191;192;13;22
179;702;212;14;1
180;352;198;14;2
181;139;69;14;3
182;92;465;14;4
183;262;229;14;5
184;232;142;14;6
185;655;728;14;7
186;220;726;14;8
187;291;61;14;9
188;572;239;14;10
189;80;295;14;11
190;339;106;14;12
191;1283;2572;14;13
192;718;546;14;14
193;709;357;14;15
194;494;78;14;16
195;86;794;14;17
196;794;255;14;18
197;349;368;14;19
198;105;341;14;20
199;340;740;14;21
200;184;417;15;1
201;294;758;15;2
202;324;135;15;3
203;165;683;15;4
204;158;593;15;5
205;219;376;15;6
206;661;471;15;7
207;433;598;15;8
208;67;356;15;9
209;1962;1551;15;10
210;406;151;15;11
211;277;486;15;12
212;445;579;15;13
213;776;694;15;14
214;737;684;15;15
215;761;343;15;16
216;746;57;15;17
