DEFECT_ID;PLATE_ID;X;Y;WIDTH;HEIGHT
0;0;0;192;5;7
1;0;4855;0;10;12
2;0;1922;0;6;11
3;0;5779;0;16;16
4;0;5983;2834;17;9
5;1;0;467;18;14
6;1;5993;2766;7;20
7;1;0;2087;7;9
8;1;4888;0;1;20
9;1;5994;678;6;16
10;1;3056;0;12;12
11;1;449;625;6;6
12;1;0;169;12;16
13;1;0;2255;1;18
14;1;0;108;13;18
15;1;4200;3207;14;3
16;1;1248;3200;8;10
17;1;4645;0;15;5
18;1;0;284;18;18
19;1;0;1078;16;4
20;1;5993;1013;7;6
21;1;4444;677;4;18
22;1;2913;1672;14;12
23;1;5991;2817;9;18
24;1;0;3111;12;7
25;2;4051;2176;18;19
26;2;2681;3208;12;2
27;2;769;1948;2;7
28;2;299;1355;9;12
29;2;0;2251;10;16
30;2;3529;3202;3;8
31;2;0;1968;16;6
32;2;3943;0;9;7
33;2;5181;0;8;6
34;2;384;0;14;19
35;2;1138;3197;19;13
36;3;3036;3195;15;15
37;3;647;0;1;6
38;3;2875;3115;4;7
39;3;1749;3195;10;15
40;3;1953;0;1;4
41;3;3547;2087;1;17
42;3;4204;2619;4;1
43;3;16;3194;8;16
44;3;4391;3208;13;2
45;3;0;1533;7;14
46;3;2184;0;2;7
47;3;2090;2953;18;2
48;3;0;1676;4;18
49;3;2095;3192;12;18
50;3;270;3206;18;4
51;3;0;1416;10;13
52;3;5988;2949;12;20
53;3;3987;0;14;7
54;4;5993;2896;7;18
55;4;0;1259;12;4
56;5;2330;0;13;16
57;5;919;3199;5;11
58;5;4525;2692;18;10
59;5;0;134;2;7
60;5;5981;1298;19;15
61;5;4996;3075;9;5
62;5;0;3055;12;8
63;5;3840;0;18;8
64;5;0;2907;1;13
65;5;5980;308;20;6
66;5;453;3200;5;10
67;5;4824;0;10;13
68;5;5994;3162;6;18
69;5;2907;0;8;9
70;5;4317;3207;11;3
71;5;1783;2593;2;18
72;5;0;1462;17;5
73;5;5985;2975;15;5
74;6;674;0;14;1
75;6;5999;302;1;20
76;6;4935;2908;13;6
77;6;5999;2136;1;16
