ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;1090;2453;0;1
1;1090;2453;0;2
2;1090;2453;0;3
3;1090;2453;0;4
4;1090;2453;0;5
5;1090;2453;0;6
6;94;550;1;1
7;94;550;1;2
8;94;550;1;3
9;94;550;1;4
10;94;550;1;5
11;94;550;1;6
12;94;550;1;7
13;94;550;1;8
14;94;550;1;9
15;635;538;2;1
16;635;538;2;2
17;635;538;2;3
18;635;538;2;4
19;635;538;2;5
20;635;538;2;6
21;635;538;2;7
22;635;538;2;8
23;238;507;3;1
24;238;507;3;2
25;238;507;3;3
26;238;507;3;4
27;238;507;3;5
28;238;507;3;6
29;238;507;3;7
30;238;507;3;8
31;238;507;3;9
32;238;507;3;10
33;238;507;3;11
34;238;507;3;12
35;238;507;3;13
36;238;507;3;14
37;238;507;3;15
38;238;507;3;16
39;238;507;3;17
40;67;590;4;1
41;67;590;4;2
42;716;298;5;1
43;716;298;5;2
44;716;298;5;3
45;716;298;5;4
46;716;298;5;5
47;716;298;5;6
48;716;298;5;7
49;716;298;5;8
50;716;298;5;9
51;716;298;5;10
52;716;298;5;11
53;716;298;5;12
54;716;298;5;13
55;716;298;5;14
56;716;298;5;15
57;716;298;5;16
58;779;57;6;1
59;779;57;6;2
60;779;57;6;3
61;779;57;6;4
62;779;57;6;5
63;779;57;6;6
64;779;57;6;7
65;625;605;7;1
66;625;605;7;2
67;625;605;7;3
68;625;605;7;4
69;625;605;7;5
70;625;605;7;6
71;625;605;7;7
72;684;369;8;1
73;684;369;8;2
74;684;369;8;3
75;684;369;8;4
76;684;369;8;5
77;2875;1638;9;1
78;2875;1638;9;2
79;2875;1638;9;3
80;2875;1638;9;4
81;2875;1638;9;5
82;2875;1638;9;6
83;2875;1638;9;7
84;2875;1638;9;8
85;2875;1638;9;9
86;2875;1638;9;10
87;2875;1638;9;11
88;2875;1638;9;12
89;2875;1638;9;13
90;3038;2258;10;1
91;3038;2258;10;2
92;3038;2258;10;3
93;3038;2258;10;4
94;3038;2258;10;5
95;689;257;11;1
96;689;257;11;2
97;689;257;11;3
98;689;257;11;4
99;689;257;11;5
100;689;257;11;6
101;689;257;11;7
102;689;257;11;8
103;689;257;11;9
104;689;257;11;10
105;689;257;11;11
106;689;257;11;12
107;689;257;11;13
108;286;474;12;1
109;286;474;12;2
110;286;474;12;3
111;286;474;12;4
112;286;474;12;5
113;286;474;12;6
114;286;474;12;7
115;286;474;12;8
116;286;474;12;9
117;286;474;12;10
118;286;474;12;11
119;286;474;12;12
120;286;474;12;13
121;286;474;12;14
122;286;474;12;15
123;286;474;12;16
124;169;518;13;1
125;169;518;13;2
126;169;518;13;3
127;413;598;14;1
128;413;598;14;2
129;413;598;14;3
130;413;598;14;4
131;413;598;14;5
132;413;598;14;6
133;413;598;14;7
134;413;598;14;8
135;413;598;14;9
136;413;598;14;10
137;413;598;14;11
138;413;598;14;12
