ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;719;249;0;1
1;719;249;0;2
2;719;249;0;3
3;719;249;0;4
4;719;249;0;5
5;719;249;0;6
6;719;249;0;7
7;719;249;0;8
8;719;249;0;9
9;719;249;0;10
10;719;249;0;11
11;646;34;1;1
12;646;34;1;2
13;646;34;1;3
14;646;34;1;4
15;646;34;1;5
16;646;34;1;6
17;646;34;1;7
18;646;34;1;8
19;646;34;1;9
20;646;34;1;10
21;646;34;1;11
22;646;34;1;12
23;3011;1683;2;1
24;3011;1683;2;2
25;3011;1683;2;3
26;3011;1683;2;4
27;3011;1683;2;5
28;3011;1683;2;6
29;3011;1683;2;7
30;3011;1683;2;8
31;3011;1683;2;9
32;3011;1683;2;10
33;3011;1683;2;11
34;3011;1683;2;12
35;3011;1683;2;13
36;3011;1683;2;14
37;3011;1683;2;15
38;3011;1683;2;16
39;3011;1683;2;17
40;3011;1683;2;18
41;3011;1683;2;19
42;648;404;3;1
43;648;404;3;2
44;648;404;3;3
45;648;404;3;4
46;648;404;3;5
47;648;404;3;6
48;648;404;3;7
49;648;404;3;8
50;648;404;3;9
51;648;404;3;10
52;648;404;3;11
53;648;404;3;12
54;648;404;3;13
55;648;404;3;14
56;648;404;3;15
57;648;404;3;16
58;648;404;3;17
59;648;404;3;18
60;281;375;4;1
61;281;375;4;2
62;281;375;4;3
63;384;652;5;1
64;744;795;6;1
65;744;795;6;2
66;744;795;6;3
67;744;795;6;4
68;744;795;6;5
69;744;795;6;6
70;744;795;6;7
71;744;795;6;8
72;744;795;6;9
73;744;795;6;10
74;744;795;6;11
75;744;795;6;12
76;744;795;6;13
77;744;795;6;14
78;744;795;6;15
79;744;795;6;16
80;202;445;7;1
81;202;445;7;2
82;202;445;7;3
83;202;445;7;4
84;202;445;7;5
85;202;445;7;6
86;202;445;7;7
87;202;445;7;8
88;1907;501;8;1
89;1907;501;8;2
90;1907;501;8;3
91;1907;501;8;4
92;1907;501;8;5
93;1907;501;8;6
94;1907;501;8;7
95;1907;501;8;8
96;1907;501;8;9
97;557;285;9;1
98;557;285;9;2
99;557;285;9;3
100;557;285;9;4
101;557;285;9;5
102;557;285;9;6
103;557;285;9;7
104;557;285;9;8
105;557;285;9;9
106;557;285;9;10
107;557;285;9;11
108;557;285;9;12
109;249;381;10;1
110;249;381;10;2
111;249;381;10;3
112;249;381;10;4
113;249;381;10;5
114;249;381;10;6
115;249;381;10;7
116;249;381;10;8
117;249;381;10;9
118;249;381;10;10
119;249;381;10;11
120;249;381;10;12
121;36;459;11;1
122;36;459;11;2
123;36;459;11;3
124;36;459;11;4
125;36;459;11;5
126;36;459;11;6
127;36;459;11;7
128;36;459;11;8
129;36;459;11;9
130;36;459;11;10
131;36;459;11;11
132;36;459;11;12
133;90;80;12;1
134;90;80;12;2
135;90;80;12;3
136;425;506;13;1
137;425;506;13;2
138;425;506;13;3
139;425;506;13;4
140;425;506;13;5
141;425;506;13;6
142;425;506;13;7
143;425;506;13;8
144;425;506;13;9
145;425;506;13;10
146;425;506;13;11
147;425;506;13;12
148;425;506;13;13
149;425;506;13;14
150;425;506;13;15
151;425;506;13;16
152;753;166;14;1
