DEFECT_ID;PLATE_ID;X;Y;WIDTH;HEIGHT
0;1;5089;0;15;2
1;1;5191;478;12;8
2;1;5982;1136;18;7
3;1;0;1348;18;6
4;1;4793;1252;7;4
5;1;5991;85;9;14
6;1;5985;1807;15;9
7;1;5618;3193;20;17
8;1;1049;0;4;4
9;1;240;1122;6;16
10;1;1775;0;2;5
11;1;3291;3204;5;6
12;1;1827;1912;16;19
13;1;2688;3209;16;1
14;1;5089;1750;13;10
15;1;3871;0;8;5
16;1;2572;3201;15;9
17;2;357;2066;14;20
18;2;3799;0;6;2
19;2;2527;860;14;13
20;2;2435;2311;5;6
21;2;5991;1467;9;5
22;2;5782;0;19;8
23;2;4934;0;14;11
24;2;0;1325;3;16
25;2;0;2292;9;5
26;2;1853;1808;16;17
27;2;1547;3192;2;18
28;2;5990;2998;10;16
29;2;5012;0;1;12
30;2;754;0;6;2
31;2;4206;3199;4;11
32;2;3183;0;4;16
33;2;1095;0;5;14
34;2;0;2109;17;8
35;2;941;3202;10;8
36;2;0;1365;13;18
37;3;2790;3208;17;2
38;3;866;3204;20;6
39;3;0;2339;16;11
40;3;0;2259;13;17
41;3;1768;0;7;4
42;3;4375;0;7;5
43;3;5972;2859;7;1
44;3;251;0;11;12
45;3;3732;1216;10;9
46;3;3903;504;18;10
47;3;0;3017;6;18
48;3;0;1073;13;9
49;3;46;3201;4;9
50;3;5432;0;7;17
51;3;244;3193;10;17
52;4;0;2212;1;12
53;4;2673;2644;13;5
54;4;2931;2236;20;19
55;4;3543;3201;18;9
56;4;2351;231;14;12
57;4;5980;2438;20;16
58;4;0;1742;20;16
59;5;350;0;8;10
60;5;3876;3167;14;1
61;5;69;2762;13;8
62;6;3378;816;1;19
63;6;0;3056;4;2
64;6;0;1055;16;18
65;6;5712;1884;14;3
66;7;0;3089;18;18
67;7;4575;2063;8;9
68;7;670;3192;13;18
69;7;5981;2880;19;2
70;7;1961;0;18;10
71;7;1500;2906;10;14
72;7;5176;3196;8;14
73;7;4204;346;8;13
74;7;1452;0;5;11
75;7;5992;1896;8;8
76;7;0;22;4;15
77;7;0;2525;2;12
78;7;3593;1330;17;3
79;7;1123;3193;12;17
80;7;459;0;17;4
81;7;4334;0;1;1
82;7;0;3154;7;8
83;7;0;2622;7;18
84;7;290;935;12;6
85;7;5992;1989;8;1
86;9;234;3191;1;19
87;9;2518;565;4;6
88;9;5989;1625;11;16
89;9;0;2759;7;7
90;9;884;353;4;18
91;9;3815;82;10;16
92;9;5828;3202;19;8
93;9;2340;3199;12;11
94;9;0;467;8;18
95;9;1568;1458;2;11
96;9;0;17;20;9
97;9;749;3190;15;20
98;9;298;3191;11;19
99;9;0;2713;11;3
100;9;5987;429;13;17
101;9;416;2454;12;11
102;9;5986;1421;14;1
103;9;1694;3190;9;20
104;9;3709;3193;3;17
105;9;0;2386;16;11
106;12;0;3037;6;2
107;12;4888;2321;8;10
108;12;2282;3202;5;8
109;12;5986;621;14;14
110;12;0;2408;8;6
111;12;5276;0;20;10
112;12;3251;1390;12;14
113;12;1483;3197;8;13
114;12;394;3199;14;11
115;12;4253;3200;20;10
116;12;3502;3068;12;14
117;12;4385;0;10;7
118;12;3628;0;7;14
119;12;488;1101;10;8
120;12;1064;3198;20;12
121;13;5919;3193;10;17
122;13;0;96;6;15
123;13;0;102;9;8
124;13;4261;1206;17;9
125;13;0;2785;17;17
126;13;5994;2645;6;2
127;13;4020;3208;3;2
128;13;3545;3206;16;4
129;16;5651;697;3;5
130;16;5987;2141;13;13
131;16;1024;3194;14;16
132;16;4911;1578;16;11
133;16;3354;0;19;14
134;16;5989;441;11;9
135;16;4821;0;10;13
136;16;0;2996;15;19
137;16;3231;0;8;11
138;16;5993;2122;7;10
139;16;1683;0;13;19
140;16;0;1975;12;18
141;16;5980;2823;20;13
142;16;1557;3201;6;9
143;16;4680;0;12;19
144;16;343;3202;12;8
145;16;0;1851;20;1
146;16;839;0;15;12
147;16;1307;3190;16;20
148;16;5983;897;17;16
149;17;1729;392;7;10
150;17;852;0;7;18
151;17;461;3200;20;10
152;17;781;0;18;10
153;17;5236;3190;10;20
154;17;5986;429;14;4
155;17;4132;529;17;13
156;17;142;1624;14;19
157;17;5982;1004;18;13
158;17;5983;2339;17;13
159;17;2696;0;1;8
160;17;4398;3193;6;17
161;17;4537;0;2;17
162;17;5995;98;5;20
163;18;5994;1854;6;18
164;18;1333;0;15;8
165;18;3456;3191;7;19
166;18;5279;1170;16;2
167;18;2958;0;4;19
168;18;0;1401;15;10
169;18;5985;1574;15;12
170;18;4289;0;12;18
171;18;5597;2911;4;10
172;18;5618;1840;3;10
173;18;1423;126;12;1
174;18;2838;3191;17;19
175;18;691;0;5;2
176;18;115;0;17;14
177;20;0;972;18;9
178;20;0;1415;10;19
179;20;2512;837;16;4
180;20;5983;3020;17;14
181;20;1366;2872;2;17
182;20;5996;824;4;20
183;20;3038;609;1;12
184;20;4767;0;8;17
185;20;2958;257;1;4
186;20;5989;2367;11;10
187;20;5989;1475;11;17
188;20;5166;3200;12;10
189;20;5991;2305;9;10
190;20;0;529;18;18
191;20;2367;745;9;13
192;20;3724;0;6;10
193;20;5997;1452;3;13
194;20;703;0;5;4
195;20;5993;549;7;19
196;20;0;448;9;12
197;21;3392;726;20;14
198;21;3637;1617;7;1
199;21;3423;3193;4;17
200;21;5984;0;10;9
201;21;1986;2166;2;12
202;21;0;2034;12;19
203;21;3989;3209;14;1
204;21;1327;3197;12;13
205;21;2801;3207;18;3
206;23;5988;809;12;15
207;23;5991;2718;9;11
208;23;1253;2508;14;3
209;23;5999;374;1;7
210;23;0;1238;17;17
211;23;0;39;20;18
212;23;971;0;18;15
213;23;1857;3205;8;5
214;23;543;1313;7;12
215;23;0;2743;9;15
216;24;5993;2260;7;10
217;24;1884;3202;7;8
218;24;0;0;12;11
219;24;3699;188;18;7
220;24;5986;1866;14;11
221;24;111;3190;12;20
222;24;5145;501;19;17
223;24;5983;1129;17;3
224;24;3688;0;13;3
225;24;1670;0;11;20
226;24;0;2823;2;5
227;24;5992;2827;8;4
228;24;0;2419;19;13
229;24;3250;2845;13;15
230;24;0;3181;12;2
231;24;2708;3206;6;4
232;24;868;3200;3;10
233;24;5374;724;9;13
234;26;0;1839;19;15
235;26;3296;0;2;20
236;26;4762;1626;13;1
237;26;1661;0;9;19
238;26;5983;2834;17;7
239;26;1047;2522;16;6
240;26;4900;2496;15;17
241;26;3120;3201;17;9
242;26;5984;2523;16;4
243;26;5825;3200;3;10
244;26;0;2780;15;20
245;26;1635;0;6;6
246;26;1685;1780;15;3
247;26;5994;693;6;8
248;26;0;789;6;12
249;26;5997;1692;3;4
250;26;4993;0;20;15
251;27;1742;3208;13;2
252;27;5983;2382;17;7
253;27;0;647;5;20
254;27;3067;0;2;5
255;27;1219;0;14;7
256;27;2895;3194;10;16
257;27;2763;1408;18;7
258;27;5982;2784;18;9
259;27;4092;3198;18;12
260;27;223;3196;14;14
261;27;1106;1865;13;12
262;27;0;2602;17;17
263;28;3881;0;12;3
264;28;5992;1744;8;12
265;28;3475;3012;19;3
266;28;5998;764;2;19
267;28;5994;2069;6;6
268;28;5980;535;20;9
269;28;4807;3208;10;2
270;28;3480;2958;2;3
271;28;4983;3203;14;7
272;28;0;1004;3;1
273;31;0;609;11;2
274;31;1592;2127;16;14
275;31;4066;0;6;2
276;31;5998;2055;2;1
277;32;3957;1758;20;3
278;32;5995;277;5;9
279;32;4962;3207;5;3
