DEFECT_ID;PLATE_ID;X;Y;WIDTH;HEIGHT
0;0;0;1916;6;16
1;2;3197;2043;12;1
2;2;3478;0;18;13
3;2;0;2675;2;10
4;2;354;1213;12;20
5;2;5983;1998;17;12
6;2;1942;0;3;17
7;2;4943;3193;2;17
8;2;3810;0;10;4
9;2;0;1649;6;13
10;2;5991;3192;9;13
11;2;5986;344;14;9
12;2;5992;2660;8;8
13;2;0;3129;6;17
14;2;5986;2896;14;10
15;2;0;1452;6;14
16;2;5998;952;2;10
17;2;1512;3190;9;20
18;2;5995;1096;5;20
19;3;0;885;12;12
20;3;3219;2096;15;18
21;3;384;1543;8;18
22;3;0;685;6;15
23;3;4978;3196;19;14
24;3;5546;0;14;18
25;3;0;1529;16;5
26;3;1487;0;5;17
27;5;5532;1541;6;7
28;5;0;2666;8;20
29;5;5993;168;7;7
30;5;861;3206;12;4
31;5;133;2244;14;7
32;5;5084;3203;18;7
33;5;5996;1839;4;17
34;5;5994;455;6;4
35;5;5009;0;9;20
36;6;0;2373;2;1
37;6;5983;3065;17;4
38;6;1362;0;3;12
39;6;0;2127;7;20
40;6;5656;0;19;8
41;6;0;2061;4;5
42;6;123;0;4;2
43;6;3763;2068;12;16
44;6;128;0;9;9
45;6;3323;1658;13;5
46;6;0;2825;6;18
47;6;0;2724;1;15
48;6;5262;0;11;4
49;7;636;3199;13;11
50;7;5369;3205;9;5
51;7;3959;0;5;10
52;7;5989;1812;11;12
53;7;4326;1813;11;19
54;7;0;1178;20;18
55;7;375;3206;7;4
56;7;5997;0;1;14
57;7;5984;2184;16;18
58;7;0;1566;8;3
59;7;0;2570;19;12
60;7;5993;153;7;13
61;7;5070;2182;1;20
62;7;0;1344;19;14
63;7;0;563;18;4
64;7;4582;1990;18;13
65;8;0;697;19;10
66;8;3363;0;13;7
67;8;5991;2505;9;14
68;8;0;851;11;4
69;8;846;0;4;17
70;8;1187;914;9;4
71;8;5992;3194;4;16
72;8;0;901;18;7
73;8;4026;0;4;13
74;8;3807;0;6;7
75;8;0;1287;11;1
76;8;1991;3200;5;10
77;8;2570;0;20;4
78;9;0;2702;2;6
79;9;1444;1946;7;3
80;9;5851;0;14;5
81;9;4291;0;12;7
82;9;5998;2925;2;2
83;9;1184;3199;2;11
84;9;5995;1259;5;8
85;9;2188;1148;4;3
86;9;3448;3208;20;2
87;9;563;0;3;12
88;9;3572;1614;20;19
89;9;3176;1417;7;7
90;9;1419;1808;14;7
91;9;5989;331;11;14
92;9;5991;2296;9;15
93;11;2179;2999;18;2
94;11;0;9;14;18
95;11;2213;2343;10;4
96;11;5312;3207;1;3
97;11;0;1555;1;6
98;11;1495;3202;6;8
99;11;5295;3192;3;18
100;11;5997;2636;3;20
101;11;5999;2072;1;8
102;11;2821;3198;13;12
103;11;0;2826;19;12
104;11;2157;0;13;14
105;11;4321;1129;3;20
106;11;4238;3203;20;7
107;11;5859;1260;9;13
108;11;751;193;12;10
109;11;4060;0;1;19
110;11;613;0;16;5
111;11;4132;0;20;5
112;11;3361;3203;4;7
113;12;2909;2121;2;14
114;12;5981;2678;19;17
115;12;5994;757;6;6
116;12;2514;3193;15;17
117;12;4509;3190;6;20
118;12;0;2842;18;7
119;12;5993;1735;7;18
120;12;5227;0;20;13
121;12;0;1089;9;14
122;12;0;3158;4;5
123;12;1038;0;5;13
124;12;0;2806;8;4
125;12;2901;3196;5;14
126;13;5981;2436;19;2
127;13;2833;0;1;18
128;13;2877;0;15;20
129;13;0;2092;6;1
130;13;4782;0;14;19
131;13;3415;2774;18;11
132;13;2789;3194;5;16
133;13;5656;0;20;16
134;13;0;329;15;11
135;13;1802;0;16;1
136;13;5980;1913;20;11
137;13;0;1458;20;10
138;13;2161;199;13;19
139;13;0;1034;20;11
140;14;2103;2857;7;8
141;14;0;806;4;17
142;14;3820;2414;3;11
143;14;5906;3199;2;11
144;14;4707;975;20;2
145;14;3811;3209;2;1
146;14;3372;2633;9;1
147;14;0;1386;7;1
148;14;0;2230;17;11
149;14;3970;1115;2;20
150;14;5991;3200;9;6
151;14;3852;0;11;5
152;14;3728;0;1;7
153;14;3518;0;2;14
154;14;5992;1664;8;7
155;14;0;261;4;3
156;14;2411;0;1;5
157;14;3403;3190;6;20
158;14;5991;377;9;13
159;15;2628;0;14;9
160;15;5995;2121;5;5
161;15;5990;938;10;5
162;15;479;0;14;18
163;15;5764;2163;7;12
164;15;5982;2930;18;14
165;15;5988;304;12;6
166;15;3197;3090;3;17
167;15;1843;2037;9;4
168;15;2655;3191;16;19
169;15;5984;278;16;18
170;16;4095;3197;10;13
171;16;0;1701;10;13
172;16;0;2886;20;4
173;16;97;3208;12;2
174;16;5230;911;18;17
175;16;4191;0;17;6
176;16;5127;899;2;2
177;17;776;3203;18;7
178;17;0;910;3;17
179;17;2176;0;1;1
180;17;0;2545;16;11
181;17;0;2419;18;14
182;17;0;1276;2;4
183;17;0;1992;5;3
184;17;5971;3192;4;18
185;17;0;623;2;19
186;18;2438;587;9;18
187;18;2266;3207;2;3
188;18;3674;3203;4;7
189;18;0;3190;1;12
190;21;0;52;12;3
191;21;0;905;19;7
192;21;3548;1282;4;15
193;21;2075;3199;16;11
194;21;4220;3198;10;12
195;21;4127;3199;20;11
196;21;431;0;15;20
197;21;265;285;4;18
198;21;5994;1836;6;9
199;21;1882;0;10;8
200;21;5987;1816;13;18
201;21;5992;369;8;15
202;21;0;1019;5;10
203;21;0;1875;3;12
204;21;465;3195;18;15
205;21;3745;0;18;19
206;21;4362;3201;13;9
207;22;5945;2924;11;19
208;22;0;1763;19;17
209;22;0;2157;16;11
210;22;0;2324;7;11
211;23;875;0;9;6
212;23;5996;375;4;16
213;23;479;3199;15;11
214;23;0;2362;1;15
215;23;5986;1717;14;12
216;23;2261;0;15;3
217;23;2386;3190;8;20
218;23;5773;0;5;17
219;23;1044;958;19;14
220;23;3176;3208;14;2
221;23;0;2735;18;14
222;24;0;1695;12;1
223;24;1236;2515;10;17
224;24;2717;3196;8;14
225;24;5994;2963;6;2
226;24;3482;3209;20;1
227;24;5994;846;6;14
228;24;1964;3153;20;15
229;24;5870;0;1;16
230;24;3765;3195;4;15
231;24;4288;3197;20;13
232;24;0;49;17;5
233;24;0;324;12;20
234;24;5987;1561;13;19
235;24;111;2560;12;14
236;24;4110;3198;20;12
237;24;4674;3208;9;2
238;26;5628;0;8;8
239;26;3574;3199;8;11
240;27;5996;2662;4;18
241;27;5992;2046;8;19
242;27;0;1496;2;12
243;27;0;2853;14;2
244;27;0;1772;11;17
245;27;1381;3197;3;13
246;28;1988;861;16;9
247;28;5983;1352;17;11
248;28;3972;3203;18;7
249;28;5993;2064;7;4
250;29;5649;0;14;9
251;29;2017;0;19;16
252;29;5802;3205;3;5
