ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;3075;653;0;1
1;2703;782;1;1
2;3039;3013;2;1
3;1154;3327;3;1
4;1131;3415;4;1
5;732;2521;5;1
6;2613;930;6;1
7;1675;3417;7;1
8;817;1445;8;1
9;3301;692;9;1
10;2628;3392;10;1
11;2501;702;11;1
12;2767;2923;12;1
13;1790;3239;13;1
14;2355;3329;14;1
15;2218;2033;15;1
16;3355;1211;16;1
17;150;1565;17;1
18;1160;993;18;1
19;2976;3303;19;1
20;1683;961;20;1
21;182;993;21;1
22;237;1211;22;1
23;3096;520;23;1
24;312;1590;24;1
25;3246;1095;25;1
26;370;1784;26;1
27;1102;1582;27;1
28;333;261;28;1
29;193;2577;29;1
30;660;2765;30;1
31;2604;2775;31;1
32;633;184;32;1
33;3013;2434;33;1
34;1501;1897;34;1
35;1119;582;35;1
36;2988;439;36;1
37;2154;212;37;1
38;2246;2289;38;1
39;3084;399;39;1
40;966;1729;40;1
41;724;732;41;1
42;3363;1155;42;1
43;1407;444;43;1
44;2092;3218;44;1
45;832;867;45;1
46;2955;3108;46;1
47;3216;2362;47;1
48;3346;767;48;1
49;3312;875;49;1
50;3359;317;50;1
51;1421;329;51;1
52;301;435;52;1
53;799;1408;53;1
54;603;2706;54;1
55;3370;1778;55;1
56;3496;1014;56;1
57;2833;3310;57;1
58;1201;3130;58;1
59;1136;959;59;1
60;2443;2223;60;1
61;3189;2299;61;1
62;566;1844;62;1
63;2684;479;63;1
64;619;622;64;1
65;154;3482;65;1
66;1591;2143;66;1
67;3410;2981;67;1
68;2530;675;68;1
69;413;3295;69;1
70;3180;311;70;1
71;2906;3234;71;1
72;3065;993;72;1
73;2776;2032;73;1
74;2623;2062;74;1
75;964;171;75;1
76;1688;3265;76;1
77;1102;2620;77;1
78;1032;869;78;1
79;707;1854;79;1
80;1991;257;80;1
81;852;1570;81;1
82;1466;911;82;1
83;3476;414;83;1
84;750;551;84;1
85;1984;1767;85;1
86;1062;2149;86;1
87;3359;1848;87;1
88;3048;1234;88;1
89;2641;3227;89;1
90;924;1971;90;1
91;266;1338;91;1
92;869;474;92;1
93;1686;3043;93;1
94;2200;2783;94;1
95;814;169;95;1
96;2635;988;96;1
97;2091;361;97;1
98;574;3333;98;1
99;358;1554;99;1
