ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;742;565;0;1
1;319;580;0;2
2;23;782;0;3
3;487;452;0;4
4;193;148;0;5
5;580;416;0;6
6;380;747;1;1
7;167;552;1;2
8;51;466;1;3
9;395;630;1;4
10;3234;3017;2;1
11;192;406;2;2
12;437;281;2;3
13;166;236;2;4
14;589;667;2;5
15;2289;509;2;6
16;127;504;3;1
17;744;2229;3;2
18;287;681;3;3
19;354;20;3;4
20;128;704;4;1
21;267;56;4;2
22;511;720;4;3
23;251;374;5;1
24;102;74;5;2
25;134;193;5;3
26;736;500;6;1
27;394;350;6;2
28;713;354;6;3
29;528;467;6;4
30;386;129;6;5
31;99;186;6;6
32;257;667;7;1
33;658;657;7;2
34;2143;2998;7;3
35;292;683;7;4
36;156;50;7;5
37;519;1213;8;1
38;127;326;8;2
39;587;132;8;3
40;550;572;8;4
41;497;463;8;5
42;178;642;9;1
43;688;124;9;2
44;349;795;9;3
45;609;736;9;4
46;484;385;9;5
47;277;438;10;1
48;507;735;10;2
49;175;130;10;3
50;1199;1259;10;4
51;486;89;11;1
52;224;565;11;2
53;501;310;11;3
54;586;564;11;4
55;796;211;12;1
56;602;503;12;2
57;728;760;12;3
58;3151;630;12;4
59;2806;1310;12;5
60;248;113;13;1
61;692;178;13;2
62;452;331;13;3
63;768;592;13;4
64;641;98;14;1
65;555;47;14;2
66;608;623;14;3
67;186;755;14;4
68;113;362;14;5
69;122;636;15;1
70;618;356;15;2
71;772;209;15;3
72;112;546;15;4
73;660;317;15;5
74;412;511;15;6
75;393;781;16;1
76;393;763;16;2
77;620;362;16;3
78;2109;1994;17;1
79;268;413;17;2
80;683;446;17;3
81;117;468;17;4
82;497;751;17;5
83;342;312;18;1
84;286;3035;18;2
85;194;693;18;3
86;616;549;18;4
87;636;453;18;5
88;708;762;19;1
89;542;699;19;2
90;592;336;19;3
91;283;593;20;1
92;289;122;20;2
93;268;493;20;3
94;115;240;21;1
95;535;748;21;2
96;78;433;21;3
97;832;774;22;1
98;136;663;22;2
99;743;279;22;3
100;756;163;22;4
101;50;594;22;5
102;44;616;23;1
103;666;39;24;1
104;377;230;24;2
105;659;159;24;3
106;67;520;24;4
107;495;136;25;1
108;707;472;26;1
109;3073;430;26;2
110;119;286;26;3
111;56;195;27;1
112;566;310;27;2
113;179;769;27;3
114;714;338;27;4
115;633;724;28;1
116;110;432;28;2
117;662;390;28;3
118;404;54;28;4
119;615;557;28;5
120;701;280;28;6
121;141;678;29;1
122;554;234;29;2
123;796;105;29;3
124;136;665;30;1
125;29;706;30;2
126;641;23;30;3
127;650;196;30;4
128;154;605;30;5
129;90;155;30;6
130;146;500;31;1
131;524;365;31;2
132;748;92;31;3
133;609;614;31;4
134;605;739;32;1
135;74;200;32;2
136;450;549;33;1
137;266;377;33;2
138;86;679;33;3
139;2854;517;33;4
140;626;266;33;5
141;217;311;33;6
142;405;480;34;1
143;197;347;35;1
144;556;276;35;2
145;622;329;35;3
146;439;403;35;4
147;112;445;35;5
148;708;127;36;1
149;189;173;36;2
150;132;682;36;3
151;361;581;36;4
152;624;755;36;5
153;467;297;37;1
154;346;179;37;2
155;545;288;37;3
156;476;417;37;4
157;531;409;37;5
158;170;139;38;1
159;415;1534;39;1
160;715;552;40;1
161;448;715;40;2
162;2201;1298;40;3
163;680;42;40;4
164;787;156;40;5
165;565;84;41;1
166;2422;2682;41;2
167;603;784;42;1
168;508;246;42;2
169;75;362;42;3
170;1675;3097;43;1
171;422;505;43;2
172;36;294;43;3
173;412;516;43;4
174;261;172;43;5
175;2058;643;44;1
176;3394;2256;45;1
177;250;767;45;2
178;23;276;46;1
179;157;795;46;2
180;176;335;46;3
181;313;149;46;4
182;352;671;47;1
183;441;361;47;2
184;779;77;47;3
185;791;615;47;4
186;211;426;48;1
187;233;642;48;2
188;657;465;48;3
189;635;740;48;4
190;432;585;48;5
191;95;373;48;6
192;492;756;49;1
193;109;252;49;2
194;441;384;50;1
195;771;778;50;2
196;164;549;51;1
197;208;302;51;2
198;168;569;52;1
199;212;351;52;2
200;568;695;52;3
201;631;99;52;4
202;623;434;53;1
203;570;571;53;2
204;88;296;53;3
205;765;609;54;1
206;25;753;54;2
207;560;639;54;3
208;600;473;55;1
209;238;46;55;2
210;582;150;55;3
211;168;87;55;4
212;336;470;55;5
213;448;197;55;6
214;362;402;56;1
215;354;349;56;2
216;161;697;56;3
217;162;170;57;1
218;427;469;57;2
219;749;181;57;3
220;747;41;58;1
221;668;457;58;2
222;705;240;58;3
223;338;219;58;4
224;27;235;59;1
225;625;329;59;2
226;54;72;59;3
227;280;390;60;1
228;59;694;60;2
229;442;676;60;3
230;401;360;61;1
231;58;106;61;2
232;592;42;61;3
233;29;154;61;4
234;109;197;62;1
235;64;299;62;2
236;288;477;62;3
237;227;535;63;1
238;672;461;63;2
239;599;725;63;3
240;564;124;64;1
241;500;580;64;2
242;518;392;64;3
243;800;557;65;1
244;68;447;65;2
245;410;423;65;3
246;642;444;66;1
247;530;371;66;2
248;678;167;67;1
249;549;572;67;2
250;193;269;67;3
251;419;36;67;4
252;799;638;67;5
253;684;733;67;6
254;444;292;68;1
255;2144;1793;69;1
256;2047;2399;69;2
257;530;588;69;3
258;379;71;69;4
259;54;737;69;5
260;681;296;69;6
261;260;214;70;1
262;381;757;70;2
263;641;626;70;3
264;3277;304;71;1
265;656;119;71;2
